municipio,tipo,id_x,nombre_x,geometry_x,longitud_x,latitud_x,linea_x,intento1_x,indices,id_y,nombre_y,linea_y,geometry_y,longitud_y,latitud_y,intento1_y
Benicalap,emt,1850.0,Equador - Music Fayos,POINT (-0.390846013478566 39.494261177862555),-0.390846013478566,39.494261177862555,,Equador - Music Fayos,14,1143.0,Centre de Salut Fonteta (1143),"13,7,N7",POINT (-0.3681617463809649 39.442507726023),-0.3681617463809649,39.442507726023,Centre de Salut Fonteta 
Benicalap,emt,304.0,Cam� de Montcada (impar) - Alemany,POINT (-0.381096509693065 39.49658988180053),-0.38109650969306463,39.49658988180053,,Cam� de Montcada  - Alemany,15,281.0,Camí de Montcada (parell) - Alemany (281),26,POINT (-0.3809572259295906 39.49649249254142),-0.38095722592959064,39.49649249254142,Camí de Montcada  - Alemany 
Benicalap,emt,304.0,Cam� de Montcada (impar) - Alemany,POINT (-0.381096509693065 39.49658988180053),-0.38109650969306463,39.49658988180053,,Cam� de Montcada  - Alemany,15,304.0,Camí de Montcada (imparell) - Alemany (304),26,POINT (-0.3810964690976113 39.49659003403457),-0.3810964690976113,39.49659003403457,Camí de Montcada  - Alemany 
Benicalap,emt,308.0,Burjassot - Pintor Matarana,POINT (-0.393309681454328 39.49239327713208),-0.3933096814543277,39.49239327713208,,Burjassot - Pintor Matarana,16,308.0,Burjassot - Pintor Matarana (308),"28,N10",POINT (-0.3933097334910693 39.492393440457676),-0.3933097334910693,39.492393440457676,Burjassot - Pintor Matarana 
Torrefiel,emt,1062.0,Pere Cabanes - Bisbe Laguarda,POINT (-0.378782914275381 39.49424173601723),-0.3787829142753814,39.49424173601723,,Pere Cabanes - Bisbe Laguarda,18,1062.0,Pere Cabanes - Bisbe Laguarda (1062),12,POINT (-0.3787829198086891 39.49424189829983),-0.3787829198086891,39.49424189829983,Pere Cabanes - Bisbe Laguarda 
Torrefiel,emt,1131.0,Pintor Jacomart - Comte de Torrefiel,POINT (-0.377254859522519 39.496467463898234),-0.37725485952251914,39.496467463898234,,Pintor Jacomart - Comte de Torrefiel,20,1131.0,Pintor Jacomart - Comte de Torrefiel (1131),12,POINT (-0.3772548411393017 39.49646764365853),-0.3772548411393017,39.49646764365853,Pintor Jacomart - Comte de Torrefiel 
Torrefiel,emt,1151.0,Comte de Lumiares - Falcons,POINT (-0.37273030705366 39.494718802885814),-0.37273030705365956,39.494718802885814,,Comte de Lumiares - Falcons,22,1865.0,Pérez Galdós - Sant Josep de la Muntanya (1865),"67,N4",POINT (-0.3948889650634679 39.473994685702266),-0.39488896506346793,39.473994685702266,Pérez Galdós - Sant Josep de la Muntanya 
Torrefiel,emt,1683.0,Dr. Peset Aleixandre - Montcada,POINT (-0.37963338512161 39.490916501508266),-0.37963338512161005,39.490916501508266,,Dr. Peset Aleixandre - Montcada,23,2122.0,Parc de Natzaret (2122),"30,4",POINT (-0.3332872128016265 39.44458966947652),-0.33328721280162654,39.44458966947652,Parc de Natzaret 
Torrefiel,emt,1683.0,Dr. Peset Aleixandre - Montcada,POINT (-0.37963338512161 39.490916501508266),-0.37963338512161005,39.490916501508266,,Dr. Peset Aleixandre - Montcada,23,1683.0,Dr. Peset Aleixandre - Montcada (1683),"60,89",POINT (-0.3796334261844185 39.490916646574654),-0.3796334261844185,39.490916646574654,Dr. Peset Aleixandre - Montcada 
Torrefiel,emt,306.0,Cam� de Montcada - F�lix del R�o,POINT (-0.379046888587608 39.491601363680964),-0.3790468885876079,39.491601363680964,,Cam� de Montcada - F�lix del R�o,24,2231.0,Centre d'especialitats Ricard Trénor  (2231),"11,N10",POINT (-0.3705717018844134 39.48185718248969),-0.3705717018844134,39.48185718248969,Centre d'especialitats Ricard Trénor  
