Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.52764376726197, -0.38580384886348595;"{""coordinates"": [-0.385803848863486, 39.52764376726197], ""type"": ""Point""}";1;BENIFARAIG;171;17;171;emt;1137;Ferrer i Bign� - Aiacor;C FERRER Y BIGNE 21 - BENIFARAIG;724691.91;4378596.09;
39.49103152203733, -0.3993369274208722;"{""coordinates"": [-0.399336927420872, 39.49103152203733], ""type"": ""Point""}";1;BENICALAP;161;16;161;metrovlc;54;Beniferri;NULL;723646.02;4374498.31;A
39.489562835999216, -0.3872583065788684;"{""coordinates"": [-0.387258306578868, 39.489562835999216], ""type"": ""Point""}";1;BENICALAP;161;16;161;metrovlc;96;Tr�nsits;NULL;724689.6;4374365.36;A
39.49443419501499, -0.39681665593963605;"{""coordinates"": [-0.396816655939636, 39.49443419501499], ""type"": ""Point""}";1;BENICALAP;161;16;161;metrovlc;99;Florista;NULL;723851.8600000001;4374882.28;A
39.49607883121975, -0.3927782255244965;"{""coordinates"": [-0.392778225524496, 39.49607883121975], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1067;Equador - Pintor Matarana;AV ECUADOR  EL 93 (DAVANT) - VAL�NCIA;724193.89;4375074.89;
39.48803711704195, -0.39146096285703635;"{""coordinates"": [-0.391460962857036, 39.48803711704195], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1183;General Avil�s (par) - Dr. Nicasi Benlloch;AV GENERAL AVILES 10 - VAL�NCIA;724333.04;4374185.52;
39.494183715692415, -0.40181813979838915;"{""coordinates"": [-0.401818139798389, 39.494183715692415], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1319;Corts Valencianes - Palau de Congressos;AV CORTS VALENCIANES P.CONGRESSOS (PAR) - VAL�NCIA;723422.52;4374842.05;
39.494049233440656, -0.39620883909505716;"{""coordinates"": [-0.396208839095057, 39.494049233440656], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1331;Florista - Carrasqueta;C FLORISTA 113 - VAL�NCIA;723905.37;4374841.06;
39.49194918548131, -0.39403448223014986;"{""coordinates"": [-0.39403448223015, 39.49194918548131], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1332;Florista - Faura;C FLORISTA 63 - VAL�NCIA;724099.1199999999;4374613.36;
39.48893270455264, -0.38857024613168817;"{""coordinates"": [-0.388570246131688, 39.48893270455264], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1684;Dr. Peset Aleixandre - Av. Burjassot;AV DOCTOR PESET ALEIXANDRE 138 - VAL�NCIA;724578.7899999999;4374292.14;
39.497039556121486, -0.38484230021599897;"{""coordinates"": [-0.384842300215999, 39.497039556121486], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1824;Joan XXIII - Germans Machado;AV JUAN XXIII 51 ACC - VAL�NCIA;724873.29;4375201.33;
39.49502149111441, -0.3840975262258647;"{""coordinates"": [-0.384097526225865, 39.49502149111441], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1825;Joan XXIII - Federico Alcacer Aguilar;AV JUAN XXIII 45 ACC - VAL�NCIA;724943.85;4374979.18;
39.49053056749751, -0.3824033226252276;"{""coordinates"": [-0.382403322625228, 39.49053056749751], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1826;Joan XXIII (impar) - F�lix del R�o;AV JUAN XXIII 3 - VAL�NCIA;725104.05;4374484.91;
39.49406698764656, -0.3907715367358549;"{""coordinates"": [-0.390771536735855, 39.49406698764656], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1833;Equador - Verbena;AV ECUADOR  EL S/N (JUNT.C/VERBENA) - VAL�NCIA;724372.94;4374856.57;
39.494982731923734, -0.386254266776117;"{""coordinates"": [-0.386254266776117, 39.494982731923734], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1835;Federico Alcacer Aguilar - Poeta Serrano Clavero;C  26 (DAVANT) - VAL�NCIA;724758.49;4374969.49;
39.49565681483716, -0.38219861797780147;"{""coordinates"": [-0.382198617977801, 39.49565681483716], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1837;Riu Nervi�n - Riu Segre;C  11 - VAL�NCIA;725105.11;4375054.45;
39.49321953677064, -0.38356455697677544;"{""coordinates"": [-0.383564556976775, 39.49321953677064], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1847;Castellonet - Joan XXIII;C  1 (DAVANT) - VAL�NCIA;724995.5;4374780.49;
39.494261177862555, -0.390846013478566;"{""coordinates"": [-0.390846013478566, 39.494261177862555], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1850;Equador - Music Fayos;AV ECUADOR  EL 69 (DAVANT) - VAL�NCIA;724365.91;4374877.94;
39.49658988180053, -0.38109650969306463;"{""coordinates"": [-0.381096509693065, 39.49658988180053], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;304;Cam� de Montcada (impar) - Alemany;CAMI MONCADA 123 - VAL�NCIA;725196.8800000001;4375160.78;
39.49239327713208, -0.3933096814543277;"{""coordinates"": [-0.393309681454328, 39.49239327713208], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;308;Burjassot - Pintor Matarana;AV BURJASOT 186 - VAL�NCIA;724160.03;4374664.46;
39.49104606478308, -0.39952381153568656;"{""coordinates"": [-0.399523811535687, 39.49104606478308], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;376;Corts Valencianes (par) - la Safor;AV CORTS VALENCIANES 22 - VAL�NCIA;723629.9000000001;4374499.46;
39.495952415263645, -0.37253697994425605;"{""coordinates"": [-0.372536979944256, 39.495952415263645], ""type"": ""Point""}";2;TORREFIEL;152;15;152;metrovlc;132;Tossal del Rei;NULL;725935.0700000001;4375111.47;A
39.49424173601723, -0.3787829142753814;"{""coordinates"": [-0.378782914275381, 39.49424173601723], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1062;Pere Cabanes - Bisbe Laguarda;C PEDRO CABANES 88 - VAL�NCIA;725403.44;4374905.92;
39.49793924075617, -0.37623403368845504;"{""coordinates"": [-0.376234033688455, 39.49793924075617], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1128;Sant Dom�nec Savio - Alemany;C SANTO DOMINGO SAVIO 94 (DAVANT) - VAL�NCIA;725610.69;4375322.74;
39.496467463898234, -0.37725485952251914;"{""coordinates"": [-0.377254859522519, 39.496467463898234], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1131;Pintor Jacomart - Comte de Torrefiel;C PINTOR JACOMART 29 - VAL�NCIA;725527.66;4375156.81;
39.496316076287215, -0.3723487469683912;"{""coordinates"": [-0.372348746968391, 39.496316076287215], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1133;Comte de Lumiares - Tossal del Rei;C CONDE DE LUMIARES 26 (DAVANT) - VAL�NCIA;725950.08;4375152.31;
39.494718802885814, -0.37273030705365956;"{""coordinates"": [-0.37273030705366, 39.494718802885814], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1151;Comte de Lumiares - Falcons;C CONDE DE LUMIARES 4 (DAVANT) - VAL�NCIA;725922.44;4374974.05;
39.490916501508266, -0.37963338512161005;"{""coordinates"": [-0.37963338512161, 39.490916501508266], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1683;Dr. Peset Aleixandre - Montcada;AV DOCTOR PESET ALEIXANDRE 60 (ACC.) - VAL�NCIA;725341.04;4374534.68;
39.491601363680964, -0.3790468885876079;"{""coordinates"": [-0.379046888587608, 39.491601363680964], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;306;Cam� de Montcada - F�lix del R�o;CAMI MONCADA 61 - VAL�NCIA;725389.27;4374612.17;
39.48998199984601, -0.3829222282948374;"{""coordinates"": [-0.382922228294837, 39.48998199984601], ""type"": ""Point""}";4;TORMOS;054;5;54;emt;242;Dr. Peset Aleixandre - Guardacostes;AV DOCTOR PESET ALEIXANDRE 105 - VAL�NCIA;725061.19;4374422.72;
39.49152962561542, -0.37445274078393626;"{""coordinates"": [-0.374452740783936, 39.49152962561542], ""type"": ""Point""}";4;TORMOS;054;5;54;emt;325;Constituci� - Dr. Peset Aleixandre;AV CONSTITUCION 127 - VAL�NCIA;725784.63;4374615.72;
39.49014270271203, -0.3715588409456911;"{""coordinates"": [-0.371558840945691, 39.49014270271203], ""type"": ""Point""}";5;SANT ANTONI;055;5;55;emt;206;Primat Reig - Bilbao;AV PRIMADO REIG 14 - VAL�NCIA;726038.02;4374469.03;
39.48827489614073, -0.36907407438929907;"{""coordinates"": [-0.369074074389299, 39.48827489614073], ""type"": ""Point""}";5;SANT ANTONI;055;5;55;emt;207;Primat Reig - Almassora;AV PRIMADO REIG 44 - VAL�NCIA;726257.79;4374267.94;
39.483371570569695, -0.3579472605373582;"{""coordinates"": [-0.357947260537358, 39.483371570569695], ""type"": ""Point""}";1;BENIMACLET;141;14;141;metrovlc;90;Vicente Zaragoz�;NULL;727230.7899999999;4373751.68;A
39.48567424928379, -0.3633946099908227;"{""coordinates"": [-0.363394609990823, 39.48567424928379], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1231;Dolores Marqu�s - Benicarl�;C DOLORES MARQUES 1 - VAL�NCIA;726754.7400000001;4373993.55;
39.488281969006714, -0.36204307974827554;"{""coordinates"": [-0.362043079748276, 39.488281969006714], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1233;Dolores Marqu�s - Assagador d'Alboraia;C DOLORES MARQUES 27 - VAL�NCIA;726862.5100000001;4374286.42;
39.48228453283069, -0.3604745130759408;"{""coordinates"": [-0.360474513075941, 39.48228453283069], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1679;Primat Reig - Conca Tramoyeres;AV PRIMADO REIG 151 - VAL�NCIA;727016.94;4373624.64;
39.485119784431234, -0.3620501025465501;"{""coordinates"": [-0.36205010254655, 39.485119784431234], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;177;Emili Bar� - Reverend Rafael Tramoyeres;C EMILIO BARO 14 - VAL�NCIA;726872.1900000001;4373935.39;
39.47969817836995, -0.3542697467783333;"{""coordinates"": [-0.354269746778333, 39.47969817836995], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1902;Catalunya - Guardia Civil;AV CATALU�A S/N (JARD�) - VAL�NCIA;727559.1;4373353.21;
39.48613270459626, -0.36617125922287475;"{""coordinates"": [-0.366171259222875, 39.48613270459626], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;216;Primat Reig - Calder�n de la Barca;AV PRIMADO REIG 101 (DAVANT JARD�) - VAL�NCIA;726514.42;4374037.45;
39.48549508398447, -0.3571892899509292;"{""coordinates"": [-0.357189289950929, 39.48549508398447], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;965;Germans Villalonga - Enric Navarro;C HERMANOS VILLALONGA 29 - VAL�NCIA;727289.07;4373989.31;
39.484078559363404, -0.35757404406791016;"{""coordinates"": [-0.35757404406791, 39.484078559363404], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;966;Germans Villalonga - Dr. Vicent Zaragoz�;C HERMANOS VILLALONGA 5 - VAL�NCIA;727260.59;4373831.1;
39.48177419707162, -0.3591744595785618;"{""coordinates"": [-0.359174459578562, 39.48177419707162], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;967;Ram�n Asensio - Gu�rdia Civil;C RAMON ASENSIO ILLETA - VAL�NCIA;727130.43;4373571.27;
39.48586627723645, -0.35782058883576806;"{""coordinates"": [-0.357820588835768, 39.48586627723645], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;987;Mistral - Murta;C MISTRAL 38 - VAL�NCIA;727233.56;4374028.92;
39.48635749372254, -0.3868129660181875;"{""coordinates"": [-0.386812966018187, 39.48635749372254], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;2160;Burjassot - Marxalenes;AV BURJASOT S/N - VAL�NCIA;724738.2300000001;4374010.67;
39.48522530969868, -0.3787592986943139;"{""coordinates"": [-0.378759298694314, 39.48522530969868], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;328;Constituci� - M�laga;AV CONSTITUCION 27 - VAL�NCIA;725434.6099999999;4373905.13;
39.48833455459579, -0.38906885641104155;"{""coordinates"": [-0.389068856411042, 39.48833455459579], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;333;Burjassot - Dr. Peset Aleixandre;AV BURJASOT 114 - VAL�NCIA;724537.83;4374224.5;
39.482982409377264, -0.38120528927482583;"{""coordinates"": [-0.381205289274826, 39.482982409377264], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;344;Pla de la Sa�dia - Burjassot;C LLANO DE LA ZAIDIA 18 - VAL�NCIA;725231.46;4373650.04;
39.48801933698775, -0.3905968545043331;"{""coordinates"": [-0.390596854504333, 39.48801933698775], ""type"": ""Point""}";3;EL CALVARI;043;4;43;emt;1829;General Avil�s - Conchita Piquer;AV GENERAL AVILES 1 - VAL�NCIA;724407.42;4374185.7;
39.481780856191584, -0.37318052689450615;"{""coordinates"": [-0.373180526894506, 39.481780856191584], ""type"": ""Point""}";2;MORVEDRE;052;5;52;metrovlc;92;Pont de Fusta;NULL;725925.62;4373536.77;A
39.485473749022596, -0.3729699986684393;"{""coordinates"": [-0.372969998668439, 39.485473749022596], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;1807;Argenter Su�rez - Ministre Luis Mayans;C  16 - VAL�NCIA;725931.77;4373947.22;
39.48308799310452, -0.3788399393291107;"{""coordinates"": [-0.378839939329111, 39.48308799310452], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;329;Constituci� - Pla de la Sa�dia;AV CONSTITUCION ILLETA SA�DIA - VAL�NCIA;725434.58;4373667.68;
39.48090757992308, -0.3740111212684179;"{""coordinates"": [-0.374011121268418, 39.48090757992308], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;341;Cronista Rivelles - Santa Am�lia;C CRONISTA RIVELLES 1 FGV - VAL�NCIA;725857.0;4373437.75;
39.48200605885308, -0.3754961966207597;"{""coordinates"": [-0.37549619662076, 39.48200605885308], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;342;Guadalaviar - Sagunt;C GUADALAVIAR 2 - VAL�NCIA;725725.7;4373555.96;
39.48494105537715, -0.3697122572684346;"{""coordinates"": [-0.369712257268435, 39.48494105537715], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;1318;Molinell (par) - Alboraia;C MOLINELL 8 - VAL�NCIA;726213.71;4373896.27;
39.48199409226757, -0.36526189667198644;"{""coordinates"": [-0.365261896671986, 39.48199409226757], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;172;Cabanilles - �lvaro de Baz�n;C CAVANILLES 18 (DAVANT) - VAL�NCIA;726606.08;4373580.34;
39.48014188377589, -0.36618359737852746;"{""coordinates"": [-0.366183597378527, 39.48014188377589], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;173;Cabanilles - Vivers;C CAVANILLES 2 (DAVANT) - VAL�NCIA;726532.81;4373372.42;
39.48413398096493, -0.36937891266426354;"{""coordinates"": [-0.369378912664264, 39.48413398096493], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;2232;Alboraia - Jaca;C ALBORAYA 44 ACC. - VAL�NCIA;726245.0;4373807.52;
39.483100789035255, -0.3849897408828854;"{""coordinates"": [-0.384989740882885, 39.483100789035255], ""type"": ""Point""}";2;LES TENDETES;042;4;42;emt;1311;Pare Ferr�s - Men�ndez Pidal;C PADRE FERRIS 21 - VAL�NCIA;724905.55;4373653.72;
39.4846303415136, -0.3865692193002586;"{""coordinates"": [-0.386569219300259, 39.4846303415136], ""type"": ""Point""}";2;LES TENDETES;042;4;42;emt;1584;Joaqu�m Ballester - Pare Ferr�s;C JOAQU�N BALLESTER 8 - VAL�NCIA;724764.76;4373819.56;
39.48481366339586, -0.3854716130841338;"{""coordinates"": [-0.385471613084134, 39.48481366339586], ""type"": ""Point""}";2;LES TENDETES;042;4;42;emt;1812;Joaqu�m Ballester (impar) - Pare Ferris;C JOAQU�N BALLESTER 3 - VAL�NCIA;724858.58;4373842.65;
39.48291208995815, -0.3845589941482335;"{""coordinates"": [-0.384558994148234, 39.48291208995815], ""type"": ""Point""}";2;LES TENDETES;042;4;42;emt;2319;Pare Ferris - Gregori Gea;C PADRE FERRIS 14 - VAL�NCIA;724943.21;4373633.85;
39.484897947778165, -0.386398991047368;"{""coordinates"": [-0.386398991047368, 39.484897947778165], ""type"": ""Point""}";2;LES TENDETES;042;4;42;emt;354;Pare Ferr�s - Joaqu�m Ballester;C PADRE FERRIS 41 - VAL�NCIA;724778.54;4373849.69;
39.48372577931639, -0.39194673663495105;"{""coordinates"": [-0.391946736634951, 39.48372577931639], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;1265;Campanar (par) - la Fe;AV CAMPANAR CONSELLERIA - VAL�NCIA;724305.12;4373705.74;
39.484112659277606, -0.39150712153447664;"{""coordinates"": [-0.391507121534477, 39.484112659277606], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;1266;Campanar (impar) - la Fe;AV CAMPANAR 21 - VAL�NCIA;724341.69;4373749.78;
39.48504131725152, -0.3961035920581221;"{""coordinates"": [-0.396103592058122, 39.48504131725152], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;1272;Pius XII (impar) - Monestir de Poblet;AV PIO XII 51 - VAL�NCIA;723943.34;4373841.42;
39.47915535179728, -0.39779005741886087;"{""coordinates"": [-0.397790057418861, 39.47915535179728], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;2097;Vall de la Ballestera (impar) - Mestre Rodrigo;C VALLE DE LA BALLESTERA 37 - VAL�NCIA;723817.1599999999;4373183.87;
39.48558985228374, -0.3958819905135718;"{""coordinates"": [-0.395881990513572, 39.48558985228374], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;2307;General Avil�s (illeta) - Pius XII;AV PIO XII S/N (ILLETA) - VAL�NCIA;723960.64;4373902.86;
39.480012419854894, -0.387566268944343;"{""coordinates"": [-0.387566268944343, 39.480012419854894], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;348;Men�ndez Pidal - Estaci� d'autobusos (riu);AV MENENDEZ PIDAL 14 (DAVANT RIU) - VAL�NCIA;724693.87;4373304.47;
39.482990126740766, -0.38969620040427505;"{""coordinates"": [-0.389696200404275, 39.482990126740766], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;358;Joaqu�m Ballester (par) - Ricardo Mic�;C JOAQU�N BALLESTER DAVANT JARD� - VAL�NCIA;724501.07;4373629.69;
39.48200173830809, -0.39192549471124233;"{""coordinates"": [-0.391925494711242, 39.48200173830809], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;359;Joaqu�m Ballester - Campanar;C JOAQU�N BALLESTER 45 (LA FE) - VAL�NCIA;724312.49;4373514.42;
39.47777563031264, -0.39476955343214676;"{""coordinates"": [-0.394769553432147, 39.47777563031264], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;368;Campanar - Tirso de Molina;AV CAMPANAR 128 - VAL�NCIA;724081.42;4373038.23;
39.48223347469082, -0.39328387095568706;"{""coordinates"": [-0.393283870955687, 39.48223347469082], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;372;Pius XII - Campanar;AV PIO XII 28 - VAL�NCIA;724194.9;4373536.76;
39.48091270611318, -0.393545485113117;"{""coordinates"": [-0.393545485113117, 39.48091270611318], ""type"": ""Point""}";1;CAMPANAR;041;4;41;emt;64;Vall de la Ballestera - Campanar;C VALLE DE LA BALLESTERA 1 - VAL�NCIA;724176.64;4373389.5;
39.48181205051496, -0.36031707555578646;"{""coordinates"": [-0.360317075555786, 39.48181205051496], ""type"": ""Point""}";3;JAUME ROIG;063;6;63;emt;1694;Primat Reig - Dr. G�mez Ferrer;AV PRIMADO REIG 96 - VAL�NCIA;727032.02;4373572.59;
39.48407378921563, -0.3633803353202159;"{""coordinates"": [-0.363380335320216, 39.48407378921563], ""type"": ""Point""}";3;JAUME ROIG;063;6;63;emt;186;Primat Reig - Jaume Roig;AV PRIMADO REIG 70 - VAL�NCIA;726761.17;4373815.93;
39.48037493312812, -0.37775899143829844;"{""coordinates"": [-0.377758991438298, 39.48037493312812], ""type"": ""Point""}";3;EL CARME;013;1;13;emt;1959;Blanqueria - Pare d' �rfens;C BLANQUERIAS 14 - VAL�NCIA;725536.33;4373369.23;
39.48002289886695, -0.382931307860638;"{""coordinates"": [-0.382931307860638, 39.48002289886695], ""type"": ""Point""}";3;EL CARME;013;1;13;emt;796;Guillem de Castro - Na Jordana;C GUILLEM DE CASTRO IVAM - VAL�NCIA;725092.54;4373317.21;
39.478211909227944, -0.36192110685525275;"{""coordinates"": [-0.361921106855253, 39.478211909227944], ""type"": ""Point""}";4;CIUTAT UNIVERSITARIA;064;6;64;emt;1241;Blasco Ib��ez - Dr. Moliner;AV BLASCO IBA�EZ BARDISSA CENTRAL - VAL�NCIA;726905.75;4373168.92;
39.478716980540995, -0.3639394962067466;"{""coordinates"": [-0.363939496206747, 39.478716980540995], ""type"": ""Point""}";4;CIUTAT UNIVERSITARIA;064;6;64;emt;1382;Blasco Ib��ez (central) - Hospital Cl�nic;AV BLASCO IBA�EZ BARDISSA CENTRAL (H.CL�NIC) - VAL�NCIA;726730.48;4373219.9;
39.47689181946896, -0.35607284780180964;"{""coordinates"": [-0.35607284780181, 39.47689181946896], ""type"": ""Point""}";4;CIUTAT UNIVERSITARIA;064;6;64;emt;155;Blasco Ib��ez - Almela i Vives;AV BLASCO IBA�EZ 31 - VAL�NCIA;727413.14;4373037.14;
39.477320637554044, -0.35752246139118254;"{""coordinates"": [-0.357522461391183, 39.477320637554044], ""type"": ""Point""}";4;CIUTAT UNIVERSITARIA;064;6;64;emt;157;Blasco Ib��ez - Gasc� Oliag;AV BLASCO IBA�EZ 25 - VAL�NCIA;727287.04;4373081.08;
39.47899162010702, -0.36307620599225804;"{""coordinates"": [-0.363076205992258, 39.47899162010702], ""type"": ""Point""}";4;CIUTAT UNIVERSITARIA;064;6;64;emt;160;Blasco Ib��ez - Hospital Cl�nic;AV BLASCO IBA�EZ 17 - VAL�NCIA;726803.85;4373252.56;
39.472321778587094, -0.3861318176454027;"{""coordinates"": [-0.386131817645403, 39.472321778587094], ""type"": ""Point""}";1;EL BOTANIC;031;3;31;emt;694;Ferran el Cat�lic - Juan de Mena;GV FERNANDO EL CATOLICO 36 - VAL�NCIA;724842.04;4372454.37;
39.47494299203561, -0.38801140488891556;"{""coordinates"": [-0.388011404888916, 39.47494299203561], ""type"": ""Point""}";1;EL BOTANIC;031;3;31;emt;695;Ferran el Cat�lic (par) - Quart;GV FERNANDO EL CATOLICO 70 - VAL�NCIA;724671.9;4372740.64;
39.475720463105716, -0.3846713433994941;"{""coordinates"": [-0.384671343399494, 39.475720463105716], ""type"": ""Point""}";1;EL BOTANIC;031;3;31;emt;803;Quart - Guillem de Castro;C QUART 66 - VAL�NCIA;724956.73;4372835.28;
39.477484353947006, -0.36142480369253954;"{""coordinates"": [-0.36142480369254, 39.477484353947006], ""type"": ""Point""}";1;EXPOSICIO;061;6;61;emt;166;Blasco Ib��ez - Facultat de Geografia;AV BLASCO IBA�EZ 28 - VAL�NCIA;726950.81;4373089.41;
39.47554944150895, -0.36250380301795787;"{""coordinates"": [-0.362503803017958, 39.47554944150895], ""type"": ""Point""}";1;EXPOSICIO;061;6;61;emt;871;Misser Masc� - Dr. Moliner;C POETA MICER MASCO 11 - VAL�NCIA;726864.28;4372871.91;
39.473767246457165, -0.3751887691788538;"{""coordinates"": [-0.375188769178854, 39.473767246457165], ""type"": ""Point""}";1;LA SEU;011;1;11;emt;2222;Pla�a de la Reina;C PAZ S/N - VAL�NCIA;725778.8;4372642.2;
39.47909356777751, -0.3752510551215609;"{""coordinates"": [-0.375251055121561, 39.47909356777751], ""type"": ""Point""}";1;LA SEU;011;1;11;emt;771;Torres dels Serrans - Comte de Tr�nor;TOR TORRES DE SERRANS ILLETA - VAL�NCIA;725756.21;4373233.28;
39.4768142295909, -0.34687012959877117;"{""coordinates"": [-0.346870129598771, 39.4768142295909], ""type"": ""Point""}";4;LA VEGA BAIXA;134;13;134;emt;1114;Ramon Llull - Garc�a Donato;C RAMON LLULL 29 - VAL�NCIA;728205.0600000002;4373051.81;
39.47521716927397, -0.3475454110947724;"{""coordinates"": [-0.347545411094772, 39.47521716927397], ""type"": ""Point""}";4;LA VEGA BAIXA;134;13;134;emt;112;Ramon Llull - Leandro de Saralegui;C RAMON LLULL 5 - VAL�NCIA;728152.1900000001;4372872.82;
39.469621437463296, -0.39176354759003396;"{""coordinates"": [-0.391763547590034, 39.469621437463296], ""type"": ""Point""}";3;LA PETXINA;033;3;33;emt;441;P�rez Gald�s - Calixt III;AV PEREZ GALDOS 88 - VAL�NCIA;724366.22;4372140.58;
39.4730321087598, -0.38729294969745187;"{""coordinates"": [-0.387292949697452, 39.4730321087598], ""type"": ""Point""}";3;LA PETXINA;033;3;33;emt;701;Ferran el Cat�lic - Gabriel Mir�;GV FERNANDO EL CATOLICO 37 - VAL�NCIA;724739.8600000001;4372530.32;
39.473809609030965, -0.3918546482258375;"{""coordinates"": [-0.391854648225837, 39.473809609030965], ""type"": ""Point""}";3;LA PETXINA;033;3;33;emt;748;Mestre Guerrero - Joan Llorens;C MAESTRO GUERRERO 1 (ACC) - VAL�NCIA;724344.92;4372605.25;
39.47461183487472, -0.3912803115249366;"{""coordinates"": [-0.391280311524937, 39.47461183487472], ""type"": ""Point""}";3;LA PETXINA;033;3;33;emt;749;Quart - Terol;C QUART 134 - VAL�NCIA;724391.75;4372695.73;
39.47109810116613, -0.33648582793160897;"{""coordinates"": [-0.336485827931609, 39.47109810116613], ""type"": ""Point""}";4;BETERO;114;11;114;emt;1211;Blasco Ib��ez (impar) - Jos� Mar�a Haro;AV BLASCO IBA�EZ 173 - VAL�NCIA;729117.14;4372443.67;
39.472427975985575, -0.33427411786345596;"{""coordinates"": [-0.334274117863456, 39.472427975985575], ""type"": ""Point""}";4;BETERO;114;11;114;emt;1754;Mar� Blas de Lezo - Cam� Cabanyal;C MARINO BLAS DE LEZO 51 ACC. - VAL�NCIA;729303.05;4372596.92;
39.463100251421544, -0.329471996538712;"{""coordinates"": [-0.329471996538712, 39.463100251421544], ""type"": ""Point""}";2;CABANYAL-CANYAMELAR;112;11;112;metrovlc;123;Grau - Canyamelar;NULL;729746.88;4371573.75;A
39.463252831640446, -0.3258508514177504;"{""coordinates"": [-0.32585085141775, 39.463252831640446], ""type"": ""Point""}";2;CABANYAL-CANYAMELAR;112;11;112;metrovlc;126;Marina Reial Joan Carles I;NULL;730057.95;4371599.93;A
39.466522044854365, -0.3279319771200871;"{""coordinates"": [-0.327931977120087, 39.466522044854365], ""type"": ""Point""}";2;CABANYAL-CANYAMELAR;112;11;112;metrovlc;127;Mediterrani;NULL;729868.12;4371957.51;A
39.46723349691897, -0.3283056191631577;"{""coordinates"": [-0.328305619163158, 39.46723349691897], ""type"": ""Point""}";2;CABANYAL-CANYAMELAR;112;11;112;emt;10;Dr. Lluch - Mare de D�u del Sufragi;C DOCTOR LLUCH 99 (DAVANT) - VAL�NCIA;729833.63;4372035.53;
39.46757139797909, -0.32856745340670007;"{""coordinates"": [-0.3285674534067, 39.46757139797909], ""type"": ""Point""}";2;CABANYAL-CANYAMELAR;112;11;112;emt;1242;Mediterr�nia - Dr. Lluch;C MEDITERRANEO 32 - VAL�NCIA;729809.99;4372072.37;
