Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.49266819004043, -0.3860738044636185;"{""coordinates"": [-0.386073804463618, 39.49266819004043], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1848;Castellonet - Alfara del Patriarca;C  19 (DAVANT) - VAL�NCIA;724781.47;4374713.02;
39.48948881854547, -0.39029052169608686;"{""coordinates"": [-0.390290521696087, 39.48948881854547], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;307;Burjassot - Mond�ver;AV BURJASOT 130 - VAL�NCIA;724429.04;4374349.58;
39.49457959905589, -0.39560266423157164;"{""coordinates"": [-0.395602664231572, 39.49457959905589], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;309;Burjassot - Salvador Tuset;AV BURJASOT 230 - VAL�NCIA;723955.8;4374901.44;
39.48821410419426, -0.3905686420727373;"{""coordinates"": [-0.390568642072737, 39.48821410419426], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;318;Dr. Nicasi Benlloch - General Avil�s;C DOCTOR NICASIO BENLLOCH ILLETA EIXIDA T�NEL - VAL�NCIA;724409.22;4374207.39;
39.486989442097055, -0.3964199000494127;"{""coordinates"": [-0.396419900049413, 39.486989442097055], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;375;Corts Valencianes - Davant Esc. Prof. Sant Josep;AV CORTS VALENCIANES 6 (ACC�S) - VAL�NCIA;723909.88;4374056.88;
39.49264804526985, -0.3831976457491313;"{""coordinates"": [-0.383197645749131, 39.49264804526985], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;445;Joan XXIII - Periodista Gil Sumbiela;AV JUAN XXIII 29 - VAL�NCIA;725028.9;4374717.97;
39.4893414650637, -0.38676444310356595;"{""coordinates"": [-0.386764443103566, 39.4893414650637], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;958;Dr. Peset Aleixandre - Mond�ver;AV DOCTOR PESET ALEIXANDRE 124 - VAL�NCIA;724732.79;4374342.02;
39.49542308982539, -0.3727852871739977;"{""coordinates"": [-0.372785287173998, 39.49542308982539], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1060;Pere Cabanes - Mont Carmel;C PEDRO CABANES 10 - VAL�NCIA;725915.43;4375052.09;
39.493253111665446, -0.3759370846956554;"{""coordinates"": [-0.375937084695655, 39.493253111665446], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1125;Comte de Torrefiel - Mestre Mar�al;C CONDE DE TORREFIEL 28 - VAL�NCIA;725651.39;4374803.31;
39.495825687541426, -0.37681225752243785;"{""coordinates"": [-0.376812257522438, 39.495825687541426], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1126;Comte de Torrefiel - Josep Esteve;C CONDE DE TORREFIEL 74 - VAL�NCIA;725567.8;4375086.68;
39.49791628936195, -0.3772165369446752;"{""coordinates"": [-0.377216536944675, 39.49791628936195], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1127;Comte de Torrefiel - Riu Bidasoa;C CONDE DE TORREFIEL 114 - VAL�NCIA;725526.27;4375317.73;
39.492515437863055, -0.3770885990290958;"{""coordinates"": [-0.377088599029096, 39.492515437863055], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1130;Pere Patrici Mey - Felip Rinaldi;C PEDRO IMPRESOR PATRICIO MEY 29 - VAL�NCIA;725554.7400000001;4374718.54;
39.49680060674762, -0.3759819876040444;"{""coordinates"": [-0.375981987604044, 39.49680060674762], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1150;Pintor Jacomart - Sant Dom�nec Savio;C PINTOR JACOMART 15 - VAL�NCIA;725636.05;4375196.98;
