Id. Parada;Cod. Via / Cod. Vía;Num. Portal;Suprimida;Denominació / Denominación;Línies / Líneas;Pròximes Arribades / Proximas Llegadas;geo_shape;geo_point_2d
297.0;49500.0;S/N;0;Camí de Montcada (imparell) - Alqueria Senent (297);26;http://www.emtvalencia.es/QR.php?sec=est&p=297;"{""coordinates"": [-0.3865461914127788, 39.52158668478957], ""type"": ""Point""}";39.52158668478957, -0.3865461914127788
358.0;38370.0;DAVANT JARDÍ;0;Joaquím Ballester (parell) - Ricardo Micó (358);98;http://www.emtvalencia.es/QR.php?sec=est&p=358;"{""coordinates"": [-0.38969617077927005, 39.48299029724242], ""type"": ""Point""}";39.48299029724242, -0.38969617077927005
403.0;81575.0;S/N (CARRIL BUS) (IMPAR);0;Corts Valencianes - l'Alt Maestrat (403);62,63,99,N3;http://www.emtvalencia.es/QR.php?sec=est&p=403;"{""coordinates"": [-0.40225646617269517, 39.4939509721372], ""type"": ""Point""}";39.4939509721372, -0.40225646617269517
850.0;31740.0;119;0;Font d'en Corts - Camí dels Rocs (850);14;http://www.emtvalencia.es/QR.php?sec=est&p=850;"{""coordinates"": [-0.35716384763434494, 39.44406961665074], ""type"": ""Point""}";39.44406961665074, -0.35716384763434494
867.0;18810.0;25;0;Clariano - Palància (867);18;http://www.emtvalencia.es/QR.php?sec=est&p=867;"{""coordinates"": [-0.3515925149182129, 39.477845629895896], ""type"": ""Point""}";39.477845629895896, -0.3515925149182129
932.0;;110 (DAVANT);0;el Tremolar - Barraca de Troia (932);14;http://www.emtvalencia.es/QR.php?sec=est&p=932;"{""coordinates"": [-0.3561891118570506, 39.422709514164566], ""type"": ""Point""}";39.422709514164566, -0.3561891118570506
953.0;;93;0;Cases de Bàrcena IV -  (953);16;http://www.emtvalencia.es/QR.php?sec=est&p=953;"{""coordinates"": [-0.35775334267869485, 39.522022159862786], ""type"": ""Point""}";39.522022159862786, -0.35775334267869485
955.0;;1;0;Bonrepòs i Mirambell (955);16;http://www.emtvalencia.es/QR.php?sec=est&p=955;"{""coordinates"": [-0.3615169935903978, 39.516495217596045], ""type"": ""Point""}";39.516495217596045, -0.3615169935903978
1009.0;38290.0;86;0;Jesús Morante Borràs (III) -  (1009);15;http://www.emtvalencia.es/QR.php?sec=est&p=1009;"{""coordinates"": [-0.34402880210602965, 39.447905375927064], ""type"": ""Point""}";39.447905375927064, -0.34402880210602965
1013.0;38290.0;151;0;Jesús Morante Borrás (VII) (1013);15;http://www.emtvalencia.es/QR.php?sec=est&p=1013;"{""coordinates"": [-0.3436689587359959, 39.44417913832902], ""type"": ""Point""}";39.44417913832902, -0.3436689587359959
1016.0;38290.0;26 (DAVANT);0;Jesús Morante Borràs (X) - (1016);15;http://www.emtvalencia.es/QR.php?sec=est&p=1016;"{""coordinates"": [-0.3452672020725657, 39.45101176146566], ""type"": ""Point""}";39.45101176146566, -0.3452672020725657
1021.0;58710.0;1(DAVANT JARDÍ VIA CENTRAL);0;Pla del Real (1021);11,16,26,6,70,94,95,N10;http://www.emtvalencia.es/QR.php?sec=est&p=1021;"{""coordinates"": [-0.366829060115047, 39.47644519421866], ""type"": ""Point""}";39.47644519421866, -0.366829060115047
1057.0;81310.0;42 (ACCÉS);0;Estadi de Mestalla (1057);10,12,79,93,N1;http://www.emtvalencia.es/QR.php?sec=est&p=1057;"{""coordinates"": [-0.35577912187140687, 39.475063402413404], ""type"": ""Point""}";39.475063402413404, -0.35577912187140687
928.0;46770.0;299;0;Carrera del Riu - Mossén Cuenca (928);14,15,24,25;http://www.emtvalencia.es/QR.php?sec=est&p=928;"{""coordinates"": [-0.34034200354658173, 39.42167609060545], ""type"": ""Point""}";39.42167609060545, -0.34034200354658173
974.0;15390.0;38;0;Carters - Llanera de Ranes (974);10;http://www.emtvalencia.es/QR.php?sec=est&p=974;"{""coordinates"": [-0.3887290822733768, 39.45275188747609], ""type"": ""Point""}";39.45275188747609, -0.3887290822733768
1688.0;57630.0;186;0;Peris i Valero - Escultor Josep Capuz (1688);15,89;http://www.emtvalencia.es/QR.php?sec=est&p=1688;"{""coordinates"": [-0.36317754189832163, 39.4621326934425], ""type"": ""Point""}";39.4621326934425, -0.36317754189832163
1700.0;81576.0;S/N;0;Camp del Túria - Marina Baixa (1700);62,67,N3;http://www.emtvalencia.es/QR.php?sec=est&p=1700;"{""coordinates"": [-0.40669235267451553, 39.49258248879419], ""type"": ""Point""}";39.49258248879419, -0.40669235267451553
