gid;Códi / Código;Nom / Nombre;Tipus / Tipo;Línia / Línea;Pròximes Arribades / Próximas Llegadas;proximes_llegadas;geo_shape;geo_point_2d
237232;122;Francesc Cubells;1;6,8;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=122&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=122&lang=va;"{""coordinates"": [-0.33397299068187275, 39.46324543123338], ""type"": ""Point""}";39.46324543123338, -0.33397299068187275
237233;123;Grau - La Marina;1;6,8;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=123&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=123&lang=va;"{""coordinates"": [-0.32947200549337935, 39.463100473242235], ""type"": ""Point""}";39.463100473242235, -0.32947200549337935
237127;132;Tossal del Rei;1;1,6;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=132&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=132&lang=va;"{""coordinates"": [-0.37253698753302067, 39.49595264605946], ""type"": ""Point""}";39.49595264605946, -0.37253698753302067
237209;18;Av. del Cid;1;3,5,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=18&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=18&lang=va;"{""coordinates"": [-0.39757499129375784, 39.468219796211656], ""type"": ""Point""}";39.468219796211656, -0.39757499129375784
237195;71;Llíria;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=71&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=71&lang=va;"{""coordinates"": [-0.5902777912103784, 39.62284092097164], ""type"": ""Point""}";39.62284092097164, -0.5902777912103784
237155;17;Àngel Guimerà;1;1,2,3,5,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=va;"{""coordinates"": [-0.3850361106717916, 39.4703026212431], ""type"": ""Point""}";39.4703026212431, -0.3850361106717916
237181;59;Campament;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=59&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=59&lang=va;"{""coordinates"": [-0.43532300030489085, 39.495845834205404], ""type"": ""Point""}";39.495845834205404, -0.43532300030489085
237134;32;Picanya;1;1,2,7;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=32&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=32&lang=va;"{""coordinates"": [-0.43715834664283953, 39.43312076720112], ""type"": ""Point""}";39.43312076720112, -0.43715834664283953
237219;5;Albalat dels Sorells;1;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=5&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=5&lang=va;"{""coordinates"": [-0.3482888941423446, 39.54526523737024], ""type"": ""Point""}";39.54526523737024, -0.3482888941423446
237102;94;Reus;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=94&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=94&lang=va;"{""coordinates"": [-0.3817070127981355, 39.4859657684198], ""type"": ""Point""}";39.4859657684198, -0.3817070127981355
237104;96;Trànsits;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=96&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=96&lang=va;"{""coordinates"": [-0.3872583214747722, 39.4895630282213], ""type"": ""Point""}";39.4895630282213, -0.3872583214747722
237105;97;Benicalap;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=97&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=97&lang=va;"{""coordinates"": [-0.39092779132445155, 39.49002842050058], ""type"": ""Point""}";39.49002842050058, -0.39092779132445155
237095;88;La Carrasca;1;1,4,6;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=88&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=88&lang=va;"{""coordinates"": [-0.3448249995342744, 39.479660074044666], ""type"": ""Point""}";39.479660074044666, -0.3448249995342744
