name,line,geometry,longitude,latitude,type
Mas del Rosari,"[""4""]",POINT (-0.435824990305418 39.52495960421599),-0.435824990305418,39.52495960421599,metrovalencia
La Cova,"[""9""]",POINT (-0.4844444397042972 39.49888996240954),-0.4844444397042972,39.49888996240954,metrovalencia
Aeroport,"[""3"", ""5""]",POINT (-0.4749194388141947 39.49236683054559),-0.4749194388141947,39.49236683054559,metrovalencia
Almàssera,"[""3""]",POINT (-0.3542666730314796 39.512256661843445),-0.3542666730314796,39.512256661843445,metrovalencia
Colón,"[""3"", ""5"", ""7"", ""9""]",POINT (-0.3709277814305924 39.47014621855607),-0.3709277814305924,39.47014621855607,metrovalencia
Ayora,"[""5"", ""7""]",POINT (-0.3429694478792123 39.466426888957855),-0.3429694478792123,39.466426888957855,metrovalencia
Bétera,"[""1""]",POINT (-0.4575305577359146 39.5906067291247),-0.4575305577359145,39.5906067291247,metrovalencia
Torrent Avinguda,"[""2"", ""7""]",POINT (-0.4728333352276692 39.431812326102154),-0.4728333352276692,39.43181232610216,metrovalencia
Alberic,"[""1""]",POINT (-0.5235260124730562 39.11705020984888),-0.5235260124730562,39.11705020984888,metrovalencia
Carlet,"[""1""]",POINT (-0.5249416827217579 39.22679905059184),-0.5249416827217579,39.22679905059184,metrovalencia
Col·legi El Vedat,"[""1""]",POINT (-0.460652768267218 39.423133889334935),-0.460652768267218,39.423133889334935,metrovalencia
Moreres,"[""10""]",POINT (-0.3384079998144471 39.450150039275506),-0.3384079998144471,39.45015003927551,metrovalencia
Sant Isidre,"[""1"", ""2"", ""7""]",POINT (-0.4028027651123522 39.45103458536643),-0.4028027651123522,39.45103458536643,metrovalencia
Sant Miquel dels Reis,"[""1"", ""6""]",POINT (-0.3684949876810832 39.49721912509855),-0.3684949876810832,39.49721912509855,metrovalencia
La Presa,"[""9""]",POINT (-0.5158333181519046 39.517223397451374),-0.5158333181519046,39.517223397451374,metrovalencia
Masia de Traver,"[""9""]",POINT (-0.546666681316191 39.53805545992607),-0.546666681316191,39.53805545992607,metrovalencia
Jesús,"[""1"", ""2"", ""7""]",POINT (-0.3845416610541635 39.45920185236387),-0.3845416610541635,39.45920185236387,metrovalencia
Patraix,"[""1"", ""2"", ""7""]",POINT (-0.3905083240820051 39.45645145583467),-0.3905083240820051,39.45645145583467,metrovalencia
Omet,"[""1""]",POINT (-0.4736869934735695 39.35324482140709),-0.4736869934735695,39.35324482140709,metrovalencia
Paiporta,"[""1"", ""2"", ""7""]",POINT (-0.4180611073753368 39.43226246036189),-0.4180611073753367,39.43226246036189,metrovalencia
Burjassot - Godella,"[""1""]",POINT (-0.4119972293308535 39.513530771164035),-0.4119972293308535,39.51353077116404,metrovalencia
Godella,"[""1""]",POINT (-0.4144555629587507 39.51950458696169),-0.4144555629587507,39.51950458696169,metrovalencia
Horta Vella,"[""1""]",POINT (-0.4431444406472527 39.58193210726515),-0.4431444406472527,39.58193210726515,metrovalencia
Alfauir,"[""1"", ""6""]",POINT (-0.366032988194516 39.489299813868165),-0.366032988194516,39.489299813868165,metrovalencia
Parc Científic,"[""4""]",POINT (-0.4226219955791658 39.51514057309938),-0.4226219955791658,39.51514057309938,metrovalencia
Tomás y Valiente,"[""4""]",POINT (-0.4256361123531358 39.5197716152865),-0.4256361123531358,39.5197716152865,metrovalencia
Francesc Cubells,"[""6"", ""8""]",POINT (-0.3339729906818728 39.46324543123338),-0.3339729906818727,39.46324543123338,metrovalencia
Grau - La Marina,"[""6"", ""8""]",POINT (-0.3294720054933794 39.463100473242235),-0.3294720054933793,39.46310047324224,metrovalencia
Tossal del Rei,"[""1"", ""6""]",POINT (-0.3725369875330207 39.49595264605946),-0.3725369875330206,39.49595264605946,metrovalencia
Av. del Cid,"[""3"", ""5"", ""9""]",POINT (-0.3975749912937578 39.468219796211656),-0.3975749912937578,39.468219796211656,metrovalencia
Llíria,"[""2""]",POINT (-0.5902777912103784 39.62284092097164),-0.5902777912103784,39.62284092097164,metrovalencia
Àngel Guimerà,"[""1"", ""2"", ""3"", ""5"", ""9""]",POINT (-0.3850361106717916 39.4703026212431),-0.3850361106717916,39.4703026212431,metrovalencia
Campament,"[""2""]",POINT (-0.4353230003048908 39.495845834205404),-0.4353230003048908,39.49584583420541,metrovalencia
Picanya,"[""1"", ""2"", ""7""]",POINT (-0.4371583466428395 39.43312076720112),-0.4371583466428395,39.43312076720112,metrovalencia
Albalat dels Sorells,"[""3""]",POINT (-0.3482888941423446 39.54526523737024),-0.3482888941423446,39.54526523737024,metrovalencia
Reus,"[""4""]",POINT (-0.3817070127981355 39.4859657684198),-0.3817070127981355,39.4859657684198,metrovalencia
Trànsits,"[""4""]",POINT (-0.3872583214747722 39.4895630282213),-0.3872583214747722,39.4895630282213,metrovalencia
Benicalap,"[""4""]",POINT (-0.3909277913244516 39.49002842050058),-0.3909277913244515,39.49002842050058,metrovalencia
La Carrasca,"[""1"", ""4"", ""6""]",POINT (-0.3448249995342744 39.479660074044666),-0.3448249995342744,39.479660074044666,metrovalencia
Dr. Lluch,"[""4"", ""6""]",POINT (-0.3281527763083297 39.46930698572537),-0.3281527763083297,39.46930698572537,metrovalencia
Universitat Politècnica,"[""1"", ""4"", ""6""]",POINT (-0.3504999876195505 39.48131565217615),-0.3504999876195505,39.48131565217615,metrovalencia
Alboraia Peris Aragó,"[""3"", ""9""]",POINT (-0.3523277634823597 39.50076297918577),-0.3523277634823597,39.50076297918577,metrovalencia
Fondo de Benaguasil,"[""2""]",POINT (-0.5780805350632693 39.59272388566321),-0.5780805350632693,39.59272388566321,metrovalencia
Gallipont - Torre del Virrei,"[""2""]",POINT (-0.5419166688737088 39.56866459072798),-0.5419166688737088,39.56866459072798,metrovalencia
Fuente del Jarro,"[""2""]",POINT (-0.4645166693571574 39.5111732875743),-0.4645166693571573,39.5111732875743,metrovalencia
L'Alcúdia,"[""1""]",POINT (-0.5102638606951693 39.193813363569774),-0.5102638606951693,39.193813363569774,metrovalencia
Sant Ramon,"[""1""]",POINT (-0.4672611054062144 39.384864846247936),-0.4672611054062144,39.384864846247936,metrovalencia
Garbí,"[""4""]",POINT (-0.3945111033066965 39.4922905363387),-0.3945111033066965,39.4922905363387,metrovalencia
Florista,"[""4""]",POINT (-0.396816670526207 39.49443439623788),-0.3968166705262069,39.49443439623788,metrovalencia
Neptú,"[""8""]",POINT (-0.3258508438284417 39.463253060287585),-0.3258508438284417,39.46325306028759,metrovalencia
Machado,"[""3"", ""5"", ""7"", ""9""]",POINT (-0.3587944504398191 39.49243168035884),-0.358794450439819,39.49243168035884,metrovalencia
Roses,"[""3"", ""5"", ""9""]",POINT (-0.4672361011828295 39.49264911773043),-0.4672361011828295,39.49264911773043,metrovalencia
Amistat,"[""5"", ""7""]",POINT (-0.3503944579110447 39.47033313859402),-0.3503944579110447,39.47033313859402,metrovalencia
Aragó,"[""5"", ""7""]",POINT (-0.3581166561927953 39.47262577229274),-0.3581166561927953,39.47262577229274,metrovalencia
Castelló,"[""1""]",POINT (-0.5160138604081964 39.08400730254416),-0.5160138604081964,39.08400730254416,metrovalencia
Alginet,"[""1""]",POINT (-0.4748859996779908 39.26293949225646),-0.4748859996779908,39.26293949225646,metrovalencia
Quatre Carreres,"[""10""]",POINT (-0.3601250002310422 39.452447039546065),-0.3601250002310422,39.45244703954607,metrovalencia
Oceanogràfic,"[""10""]",POINT (-0.3473420005329418 39.4520380392216),-0.3473420005329418,39.4520380392216,metrovalencia
Palau de Congressos,"[""4""]",POINT (-0.400141656549996 39.497180977837964),-0.4001416565499959,39.49718097783797,metrovalencia
Campus,"[""4""]",POINT (-0.4174583255801421 39.5072212611679),-0.417458325580142,39.5072212611679,metrovalencia
